"study_id","site_id","core_id","method_id","representative_depth_min","representative_depth_max","dry_bulk_density","fraction_carbon","depth_interval_notes"
"Romero_et_al_2025","SL10","SL10-6A","single set of methods",0,15,0.265561345333965,0.1238,"Raíces y una ríz grande"
"Romero_et_al_2025","SL10","SL10-6A","single set of methods",15,30,0.362836673619298,0.096,"Raíces"
"Romero_et_al_2025","SL10","SL10-6A","single set of methods",30,50,0.255629616285354,0.1303,"Raíces y cuatro raíz grandes"
"Romero_et_al_2025","SL10","SL10-6A","single set of methods",50,100,0.411364043735436,0.0985,"Raíces"
"Romero_et_al_2025","SL10","SL10-6B","single set of methods",0,15,0.226622453813359,0.0958,"Poca raíz y una raíz grande"
"Romero_et_al_2025","SL10","SL10-6B","single set of methods",15,30,0.290015416704453,0.1079,"Raíces"
"Romero_et_al_2025","SL10","SL10-6B","single set of methods",30,50,0.30661142136552,0.1109,"Raíces"
"Romero_et_al_2025","SL10","SL10-6C","single set of methods",0,15,0.366177167219327,0.1222,"Raíces"
"Romero_et_al_2025","SL10","SL10-6C","single set of methods",15,30,0.339802303437018,0.1145,"Raíces"
"Romero_et_al_2025","SL10","SL10-6C","single set of methods",30,50,0.258692127544587,0.1158,"Raíces"
"Romero_et_al_2025","SL11","SL11-1A","single set of methods",0,15,0.644528659403127,0.0407,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-1A","single set of methods",15,30,0.652489344336628,0.0389,"Poca raíz"
"Romero_et_al_2025","SL11","SL11-1A","single set of methods",30,50,0.683570527832823,0.0239,"Poca raíz"
